FRAME,OpenPose_NumberOfPeople,Volunteer1,Volunteer2,Volunteer3,Volunteer4,AVERAGE
P10_15939,0,0,6,0,5,2.75
P10_18006,0,1,2,0,2,1.25
P10_19031,2,6,8,2,7,5.75
P10_19036,2,6,8,2,7,5.75
P10_19855,0,0,0,0,0,0
P10_22943,2,2,2,2,2,2
P10_24131,2,1,5,0,3,2.25
P10_27844,6,6,6,6,7,6.25
P10_29057,3,2,3,3,3,2.75
P10_29830,4,3,7,3,8,5.25
P10_30593,10,11,12,9,12,11
P10_31145,1,3,5,2,3,3.25
P10_32854,3,5,5,5,10,6.25
P11_11967,0,0,0,0,0,0
P11_12089,0,0,1,0,1,0.5
P11_12158,0,0,1,0,1,0.5
P11_15417,2,1,5,3,4,3.25
P11_15773,2,2,4,2,4,3
P11_17902,1,1,3,1,4,2.25
P11_18502,0,0,0,0,1,0.25
P11_18965,0,0,2,0,2,1
P11_19119,0,2,2,2,2,2
P11_20876,0,0,0,2,3,1.25
P11_21333,1,1,3,2,3,2.25
P11_23102,2,3,3,2,3,2.75
P11_25133,3,5,6,4,6,5.25
P11_25155,3,5,8,4,7,6
P11_32418,0,0,0,0,3,0.75
P11_33816,0,0,0,0,0,0
P12_14885,2,2,1,1,2,1.5
P12_16802,0,0,0,0,0,0
P12_18761,2,5,5,4,8,5.5
P12_20667,5,5,5,5,5,5
P12_22115,1,5,0,0,0,1.25
P12_24586,1,1,1,0,1,0.75
P12_24960,1,1,3,3,5,3
P12_26290,2,2,2,2,2,2
P12_26339,2,2,2,2,2,2
P12_28083,8,9,9,9,9,9
P12_28112,6,9,9,9,11,9.5
P12_28376,1,2,2,0,2,1.5
P12_29662,0,1,1,0,1,0.75
P12_29731,0,0,1,0,1,0.5
P12_30595,1,1,1,1,1,1
P13_9357,1,1,1,1,1,1
P13_11061,0,0,0,0,3,0.75
P13_12098,0,0,0,0,0,0
P13_14139,1,1,2,1,3,1.75
P13_14488,3,5,5,3,5,4.5
P13_14543,3,3,3,3,3,3
P13_15455,1,2,3,2,3,2.5
P13_16469,0,0,0,0,0,0
P13_16553,0,0,0,0,0,0
P13_16790,0,0,0,0,0,0
P13_17964,0,0,0,0,0,0
P13_20661,1,1,1,1,1,1
